SIG-REWRITE	SIG	memo.vl	impl Memo<type K: Hashable, type V>	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	native_map.vl	impl NativeMap<type V>	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	option.vl	impl str	raw_index_of	<ret>	i32 -> usize
SIG-REWRITE	SIG	option.vl	impl str	raw_last_index_of	<ret>	i32 -> usize
SIG-REWRITE	SIG	option.vl	impl str	index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	option.vl	impl str	last_index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	option.vl	impl List<type T>	get	index	i32 -> usize
SIG-REWRITE	FIELD	document.vl	struct Document		splice	i32 -> usize
SIG-REWRITE	SIG	document.vl		splice_point	<ret>	i32 -> usize
SIG-REWRITE	SIG	document.vl		closing_point	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	document.vl		spliced	insertions	List<(i32, str)> -> List<(usize, str)>
SIG-REWRITE	FIELD	document.vl	struct Tag		start	i32 -> usize
SIG-REWRITE	FIELD	document.vl	struct Tag		end	i32 -> usize
SIG-REWRITE	SIG	document.vl		past	found	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	document.vl		past	offset	i32 -> usize
SIG-REWRITE	SIG	document.vl		past	fallback	i32 -> usize
SIG-REWRITE	SIG	document.vl		past	<ret>	i32 -> usize
SIG-REWRITE	SIG	document.vl		attributes_of	from	i32 -> usize
SIG-REWRITE	SIG	document.vl		attributes_of	<ret>	(List<(str, str)>, i32) -> (List<(str, str)>, usize)
SIG-REWRITE	SIG	document.vl		skip_raw_text	from	i32 -> usize
SIG-REWRITE	SIG	document.vl		skip_raw_text	<ret>	i32 -> usize
SIG-REWRITE	SIG	document.vl		matches_ascii_insensitive	at	i32 -> usize
SIG-REWRITE	SIG	document.vl		skip_spaces	from	i32 -> usize
SIG-REWRITE	SIG	document.vl		skip_spaces	<ret>	i32 -> usize
SIG-REWRITE	SIG	document.vl		index_of	from	i32 -> usize
SIG-REWRITE	SIG	document.vl		index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	fs.vl	impl RawReadResult	bytes_read	<ret>	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl RawWriteResult	bytes_written	<ret>	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	raw_read	offset	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	raw_read	length	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	raw_write	offset	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	raw_write	length	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	read_at	<ret>	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl File	write_at	<ret>	i32 -> usize
SIG-REWRITE	SIG	fs.vl	impl Reader	next	size	i32 -> usize
SIG-REWRITE	FIELD	reactive.vl	struct ReconcilePlan		removed	List<i32> -> List<usize>
SIG-REWRITE	SIG	rpc.vl		arg	index	i32 -> usize
SIG-REWRITE	FIELD	rpc.vl	struct RemoteSource		count	Shared<i32> -> Shared<usize>
SIG-REWRITE	FIELD	rpc.vl	struct KeyedCell		positions	Shared<Map<Hash, i32>> -> Shared<Map<Hash, usize>>
SIG-REWRITE	SIG	rpc.vl	impl KeyedCell<type K: Hashable, type T: Keyed<K>>	locate	<ret>	Option<(i32, T)> -> Option<(usize, T)>
SIG-REWRITE	SIG	rpc.vl	impl KeyedCell<type K: Hashable, type T: Keyed<K>>	reindex	from	i32 -> usize
SIG-REWRITE	FIELD	rpc.vl	struct KeyedSource		count	Shared<i32> -> Shared<usize>
SIG-REWRITE	FIELD	rpc.vl	struct KeyedSource		positions	Shared<Map<Hash, i32>> -> Shared<Map<Hash, usize>>
SIG-REWRITE	SIG	rpc.vl	impl KeyedSource<type K: Wire + Hashable, type T: Wire + Keyed<K>>	index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	rpc.vl	impl KeyedSource<type K: Wire + Hashable, type T: Wire + Keyed<K>>	reindex	from	i32 -> usize
SIG-REWRITE	SIG	set.vl	impl Set<type T: Hashable>	len	<ret>	i32 -> usize
